개설강좌,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목세부구분,강의실습구분,교과대분류,교과분야,교과영역,전공(트랙),학위구분,성적부여방법,학점,이론시수,실습시수,코드쉐어여부,영어강의여부,요일/교시/강의실,선수과목,비고
49,기초학부,전체,BS202,01,확률과 통계 및 실습,Carlos Scarinci,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"화16:00-18:00(E7 - L21), 목16:00-18:00(E7 - L21)",,"2018학번 이상, 실습을 R이 아닌 Python으로 진행함"
50,기초학부,전체,BS203,01,선형대수학,한강진,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"월13:00-15:00(E7 - 223), 수13:00-15:00(E7 - 223)",,
51,기초학부,전체,BS203,02,선형대수학,한강진,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"화16:00-18:00(E7 - L22), 목16:00-18:00(E7 - L22)",,
52,기초학부,전체,BS203,03,선형대수학,이두석,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"월09:00-11:00(E7 - L22), 수09:00-11:00(E7 - L22)",,
53,기초학부,전체,CE303,01,화학공학열역학(공),고서진,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"화10:30-12:00(E7 - L31), 목10:30-12:00(E7 - L31)",,
54,기초학부,전체,CE401,01,"고분자개론(이,공)",호동해,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - L22), 목09:00-10:30(E7 - L22)",,
55,기초학부,전체,CE402,01,화학 제품 및 공정 설계(공),김찬연,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"월14:30-16:00(E7 - G02), 수14:30-16:00(E7 - G02)",,
56,기초학부,전체,CHEM201,01,"분석화학(이,공)",이호춘,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월10:30-12:00(E7 - 233), 수10:30-12:00(E7 - 233)",,
57,기초학부,전체,CHEM205,01,"유기화학Ⅰ(이,공)",정병혁,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - 236), 목09:00-10:30(E7 - 236)",,
58,기초학부,전체,CHEM206,01,일반화학실험Ⅱ(이),Desta Kebede Taye,심화필수,교과,실습,심화,전공,트랙,,이학사,등급,1.0,0.0,2.0,N,Y,수13:00-15:00(E6 - 222),,
59,기초학부,전체,CHEM301,01,심화화학실험Ⅰ(이),"홍선기, 남은주",심화필수,교과,실습,심화,전공,트랙,,이학사,등급,2.0,0.0,4.0,N,Y,화12:30-16:30(E6 - 222),,
60,기초학부,전체,CHEM305,01,"무기화학Ⅱ(이,공)",김성균,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월15:00-16:30(E7 - L22), 수15:00-16:30(E7 - L22)",(CHEM202) 무기화학 Ⅰ (이.공),무기화학I 사전 수강 필수
61,기초학부,전체,CHEM306,01,"물리화학Ⅱ(이,공)",성주영,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월09:00-10:30(E7 - 224), 수09:00-10:30(E7 - 224)",,
62,기초학부,전체,CHEM404,01,계산화학(이),장윤희,심화필수,교과,이론및실습,심화,전공,트랙,,이학사,등급,3.0,2.0,1.0,N,Y,"월16:30-18:00(E7 - L22), 수16:30-18:00(E7 - L22)",,
63,기초학부,전체,CSE203,01,"자료구조(이,공)",김선준,심화필수,교과,이론,심화,전공,전공심화,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월11:00-12:30(E7 - 242), 수11:00-12:30(E7 - 242)",(BE101a) 프로그래밍,
64,기초학부,전체,CSE302,01,"기계학습개론(이,공)",노어진,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월15:00-16:30(E7 - 242), 수15:00-16:30(E7 - 242)",,
65,기초학부,전체,CSE305,01,컴퓨터구조(공),이효근,심화필수,교과,이론,심화,전공,전공심화,,공학사,등급,3.0,3.0,0.0,N,Y,"화13:00-14:30(E7 - 236), 목13:00-14:30(E7 - 236)",(CSE201) 객체지향 프로그래밍 (이.공),
66,기초학부,전체,CSE306,01,시스템 프로그래밍(공),이용우,심화필수,교과,이론,심화,전공,전공심화,,공학사,등급,3.0,3.0,0.0,N,Y,"월16:30-18:00(E7 - 242), 수16:30-18:00(E7 - 242)",(CSE201) 객체지향 프로그래밍 (이.공),
67,기초학부,전체,CSE307,01,"프로그래밍 언어(이,공)",전민석,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"화14:30-16:00(E7 - 236), 목14:30-16:00(E7 - 236)",,신규개설
68,기초학부,전체,CSE404,01,컴퓨터 비전 개론(공),임성훈,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - L21), 목09:00-10:30(E7 - L21)",,
69,기초학부,전체,CSE405,01,컴퓨터보안개론(공),최원석,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"월10:30-12:00(E7 - 224), 수10:30-12:00(E7 - 224)",,
70,기초학부,전체,EE301,01,신호 및 시스템(공),최재호,심화필수,교과,이론,심화,전공,전공심화,,공학사,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - 241), 목09:00-10:30(E7 - 241)",,
71,기초학부,전체,EE401,01,디지털 신호처리(공),이민선,심화필수,교과,이론,심화,전공,전공심화,,공학사,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - G01), 목09:00-10:30(E7 - G01)",,
72,기초학부,전체,EE403,01,디지털통신(공),서대원,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"월13:00-14:30(E7 - G02), 수13:00-14:30(E7 - G02)",(EE305) 통신의 기초(공),
73,기초학부,전체,EE406,01,지능형제어시스템(공),"김경대, 이성민",심화필수,교과,이론,심화,전공,전공심화,,공학사,등급,3.0,3.0,0.0,N,Y,"화13:00-14:30(E7 - 235), 목13:00-14:30(E7 - 235)",(MECH309) 자동제어시스템(공),
74,기초학부,전체,EE407,01,디지털집적회로설계(공),김가인,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"월09:00-10:30(E3 - 626), 수09:00-10:30(E3 - 626)",,
75,기초학부,전체,GC101,01,Academic English: Speaking and Correspondence,Aaron Cumberledge,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,화15:30-18:30(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
76,기초학부,전체,GC101,02,Academic English: Speaking and Correspondence,Aaron Cumberledge,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,월09:00-12:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
77,기초학부,전체,GC101,03,Academic English: Speaking and Correspondence,Aaron Cumberledge,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,월13:00-16:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
78,기초학부,전체,GC101,04,Academic English: Speaking and Correspondence,Aaron Cumberledge,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,화11:00-14:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
79,기초학부,전체,GC101,05,Academic English: Speaking and Correspondence,Benjamin Wilson Riley,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,수09:00-12:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
80,기초학부,전체,GC101,06,Academic English: Speaking and Correspondence,Benjamin Wilson Riley,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,목11:00-14:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
81,기초학부,전체,GC101,07,Academic English: Speaking and Correspondence,Benjamin Wilson Riley,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,목15:30-18:30(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
82,기초학부,전체,GC101,08,Academic English: Speaking and Correspondence,Benjamin Wilson Riley,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,수14:00-17:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
83,기초학부,전체,GC101,09,Academic English: Speaking and Correspondence,Mark Silverlock,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,수14:00-17:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
84,기초학부,전체,GC101,10,Academic English: Speaking and Correspondence,Mark Silverlock,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,월13:00-16:00(E7 - L28),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
85,기초학부,전체,GC101,11,Academic English: Speaking and Correspondence,Mark Silverlock,기초필수,교과,이론,기초,글로벌커뮤니케이션,영어,,,등급,2.0,3.0,0.0,N,Y,수09:00-12:00(E7 - L27),,"2019-2014학번: Communication Skills, English for Science Leaders 1 대체과목"
